Item;Smu1_I(1)(1);Smu1_Time(1)(1);
256;-0,300000011920929;41,552734375;
257;-0,310000002384186;41,7158203125;
258;-0,319999992847443;41,8779296875;
259;-0,330000013113022;42,041015625;
260;-0,340000003576279;42,203125;
261;-0,349999994039536;42,365234375;
262;-0,360000014305115;42,5283203125;
263;-0,370000004768372;42,6904296875;
264;-0,379999995231628;42,853515625;
265;-0,389999985694885;43,015625;
266;-0,400000005960464;43,1787109375;
267;-0,409999996423721;43,3408203125;
268;-0,419999986886978;43,50390625;
269;-0,430000007152557;43,666015625;
270;-0,439999997615814;43,828125;
271;-0,449999988079071;43,9912109375;
272;-0,46000000834465;44,1533203125;
273;-0,469999998807907;44,31640625;
274;-0,479999989271164;44,478515625;
275;-0,490000009536743;44,6416015625;
276;-0,5;44,8037109375;
277;-0,509999990463257;44,9658203125;
278;-0,519999980926514;45,12890625;
279;-0,529999971389771;45,291015625;
280;-0,540000021457672;45,4541015625;
281;-0,550000011920929;45,6162109375;
282;-0,560000002384186;45,7783203125;
283;-0,569999992847443;45,94140625;
284;-0,579999983310699;46,103515625;
285;-0,589999973773956;46,2666015625;
286;-0,600000023841858;46,4287109375;
287;-0,610000014305115;46,591796875;
288;-0,620000004768372;46,75390625;
289;-0,629999995231628;46,9169921875;
290;-0,639999985694885;47,0791015625;
291;-0,649999976158142;47,2412109375;
292;-0,660000026226044;47,404296875;
293;-0,670000016689301;47,56640625;
294;-0,680000007152557;47,7294921875;
295;-0,689999997615814;47,8916015625;
296;-0,699999988079071;48,0546875;
297;-0,709999978542328;48,216796875;
298;-0,720000028610229;48,3798828125;
299;-0,730000019073486;48,5419921875;
300;-0,740000009536743;48,7041015625;
301;-0,75;48,8671875;
