Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_Time(1)(1);
178;5,00009441375732;0,479999989271164;29,2646484375;
179;5,00009298324585;0,469999998807907;29,4267578125;
180;5,00009202957153;0,46000000834465;29,58984375;
181;5,00009346008301;0,449999988079071;29,7529296875;
182;5,00008344650269;0,439999997615814;29,916015625;
183;5,00008106231689;0,430000007152557;30,0791015625;
184;5,00006818771362;0,419999986886978;30,2412109375;
185;5,00007247924805;0,409999996423721;30,404296875;
186;5,00007390975952;0,400000005960464;30,5673828125;
187;5,00008249282837;0,389999985694885;30,73046875;
188;4,99332523345947;0,379999995231628;30,8935546875;
189;4,96537637710571;0,370000004768372;31,056640625;
190;4,9361720085144;0,360000014305115;31,21875;
191;4,90476703643799;0,349999994039536;31,3818359375;
192;4,87662982940674;0,340000003576279;31,544921875;
193;4,84785461425781;0,330000013113022;31,7080078125;
194;4,81823921203613;0,319999992847443;31,8701171875;
195;4,78817319869995;0,310000002384186;32,033203125;
196;4,75916957855225;0,300000011920929;32,1962890625;
197;4,73019456863403;0,28999999165535;32,359375;
198;4,70123815536499;0,280000001192093;32,521484375;
199;4,67232322692871;0,270000010728836;32,6845703125;
200;4,64337587356567;0,259999990463257;32,84765625;
201;4,61466407775879;0,25;33,0107421875;
202;4,5858416557312;0,239999994635582;33,173828125;
203;4,55720520019531;0,230000004172325;33,3359375;
204;4,52852153778076;0,219999998807907;33,4990234375;
205;4,4998779296875;0,209999993443489;33,662109375;
206;4,47133207321167;0,200000002980232;33,8251953125;
207;4,44267225265503;0,189999997615814;33,9873046875;
208;4,41402578353882;0,180000007152557;34,150390625;
209;4,38530254364014;0,170000001788139;34,3134765625;
210;4,35665941238403;0,159999996423721;34,4765625;
211;4,32799482345581;0,150000005960464;34,6396484375;
212;4,29941177368164;0,140000000596046;34,8017578125;
213;4,27082204818726;0,129999995231628;34,96484375;
214;4,24230051040649;0,119999997317791;35,1279296875;
215;4,21392059326172;0,109999999403954;35,291015625;
216;4,18547916412354;0,100000001490116;35,4541015625;
217;4,15712690353394;0,0900000035762787;35,6162109375;
218;4,12873077392578;0,0799999982118607;35,779296875;
219;4,10038089752197;0,0700000002980232;35,9423828125;
220;4,07196474075317;0,0599999986588955;36,10546875;
221;4,04348802566528;0,0500000007450581;36,267578125;
222;4,01501893997192;0,0399999991059303;36,4306640625;
223;3,98649311065674;0,0299999993294477;36,59375;
224;3,95799088478088;0,0199999995529652;36,7568359375;
225;3,9294593334198;0,00999999977648258;36,919921875;
226;3,90092706680298;0;37,08203125;
227;3,87284755706787;-0,00999999977648258;37,24609375;
228;3,84430289268494;-0,0199999995529652;37,4091796875;
229;3,81569004058838;-0,0299999993294477;37,5712890625;
230;3,78710055351257;-0,0399999991059303;37,734375;
231;3,75846910476685;-0,0500000007450581;37,8974609375;
232;3,72984075546265;-0,0599999986588955;38,060546875;
233;3,7012894153595;-0,0700000002980232;38,2236328125;
234;3,67268061637878;-0,0799999982118607;38,3857421875;
235;3,6440703868866;-0,0900000035762787;38,548828125;
236;3,61543416976929;-0,100000001490116;38,7119140625;
237;3,58660960197449;-0,109999999403954;38,875;
238;3,55779051780701;-0,119999997317791;39,037109375;
239;3,5287230014801;-0,129999995231628;39,2001953125;
240;3,49837946891785;-0,140000000596046;39,36328125;
241;3,46903491020203;-0,150000005960464;39,5263671875;
242;3,44049024581909;-0,159999996423721;39,6884765625;
243;3,41200351715088;-0,170000001788139;39,8515625;
244;3,38360953330994;-0,180000007152557;40,0146484375;
245;3,35475373268127;-0,189999997615814;40,177734375;
246;3,32635521888733;-0,200000002980232;40,3408203125;
247;3,29823303222656;-0,209999993443489;40,5029296875;
248;3,26981663703918;-0,219999998807907;40,666015625;
249;3,2413387298584;-0,230000004172325;40,8291015625;
250;3,21284604072571;-0,239999994635582;40,9921875;
251;3,18423986434937;-0,25;41,154296875;
252;3,15570282936096;-0,259999990463257;41,3173828125;
253;3,1270010471344;-0,270000010728836;41,48046875;
254;3,1001513004303;-0,280000001192093;41,6435546875;
255;3,07131338119507;-0,28999999165535;41,806640625;
256;3,04249548912048;-0,300000011920929;41,96875;
257;3,01377511024475;-0,310000002384186;42,1318359375;
258;2,9846363067627;-0,319999992847443;42,294921875;
259;2,95522904396057;-0,330000013113022;42,4580078125;
260;2,92586708068848;-0,340000003576279;42,6201171875;
261;2,89605093002319;-0,349999994039536;42,783203125;
262;2,86684036254883;-0,360000014305115;42,9462890625;
263;2,8372642993927;-0,370000004768372;43,109375;
264;2,80608296394348;-0,379999995231628;43,271484375;
265;2,77201724052429;-0,389999985694885;43,4345703125;
266;2,73707389831543;-0,400000005960464;43,59765625;
267;2,70251178741455;-0,409999996423721;43,7607421875;
268;2,65851783752441;-0,419999986886978;43,923828125;
269;2,62468719482422;-0,430000007152557;44,0859375;
270;2,58991432189941;-0,439999997615814;44,2490234375;
271;2,55945730209351;-0,449999988079071;44,412109375;
272;2,52367568016052;-0,46000000834465;44,5751953125;
273;2,49342918395996;-0,469999998807907;44,7373046875;
274;2,46426796913147;-0,479999989271164;44,900390625;
275;2,43669056892395;-0,490000009536743;45,0634765625;
276;2,40720248222351;-0,5;45,2265625;
277;2,37677049636841;-0,509999990463257;45,3896484375;
278;2,35013484954834;-0,519999980926514;45,552734375;
279;2,3230767250061;-0,529999971389771;45,71484375;
280;2,29336595535278;-0,540000021457672;45,8779296875;
281;2,26703095436096;-0,550000011920929;46,041015625;
282;2,23754167556763;-0,560000002384186;46,2041015625;
283;2,20813894271851;-0,569999992847443;46,3662109375;
284;2,17932295799255;-0,579999983310699;46,529296875;
285;2,15162014961243;-0,589999973773956;46,6923828125;
286;2,12070250511169;-0,600000023841858;46,85546875;
287;2,08774733543396;-0,610000014305115;47,017578125;
288;2,05947947502136;-0,620000004768372;47,1806640625;
289;2,03077244758606;-0,629999995231628;47,34375;
290;2,00512003898621;-0,639999985694885;47,5068359375;
291;1,98572516441345;-0,649999976158142;47,833984375;
292;1,95536184310913;-0,660000026226044;47,9970703125;
293;1,92700707912445;-0,670000016689301;48,16015625;
294;1,90038764476776;-0,680000007152557;48,322265625;
295;1,8753217458725;-0,689999997615814;48,4853515625;
296;1,84816229343414;-0,699999988079071;48,6484375;
297;1,81634736061096;-0,709999978542328;48,8115234375;
298;1,79119515419006;-0,720000028610229;48,9736328125;
299;1,76265358924866;-0,730000019073486;49,13671875;
300;1,73777830600739;-0,740000009536743;49,2998046875;
301;1,71257364749908;-0,75;49,462890625;
